rep_number,initial_mse_avg_true,initial_bias_avg_true,initial_bias_squared_avg_true,initial_variance_avg_true,targeted_mse_avg_true,targeted_bias_avg_true,targeted_bias_squared_avg_true,targeted_variance_avg_true,km_mse_avg_true,km_bias_avg_true,km_bias_squared_avg_true,km_variance_avg_true,initial_covers_avg_true,targeted_covers_avg_true,km_covers_avg_true
78,0.0020925810270773846,0.027732963779575855,0.0007691172799992662,0.0013234637470781185,0.002690142526888284,0.018165152979575872,0.0003299727827713942,0.0023601697441168897,0.0017349968148362795,0.023174777179575865,0.0005370702973229903,0.0011979265175132894,1.0,1.0,0.52
79,0.005825076014276597,0.05599087637957587,0.003134978237752947,0.0026900977765236494,0.002385236891965672,0.03538468057957587,0.0012520756197186135,0.0011331612722470586,0.004605308362714066,0.061210429020424124,0.0037467166208643796,0.0008585917418496864,0.46,1.0,0.22
80,0.000418581531537351,0.012264646020424137,0.00015042154200630562,0.00026815998953104534,0.00013358268667043973,0.010320656220424128,0.00010651594482017924,2.706674185026049e-05,0.00023852738387069658,0.007928998779575864,6.286902164651554e-05,0.00017565836222418105,1.0,1.0,1.0
81,0.008233827700590213,0.07296232097957586,0.0053235002827266556,0.002910327417863558,0.0002712997838450793,0.013478814179575865,0.00018167843168753539,8.962135215754392e-05,0.004525849138788844,0.04668185777957587,0.002179195845752548,0.0023466532930362964,0.3,1.0,0.34
82,0.006493020594534062,0.07615538157957587,0.005799642143530803,0.0006933784510032587,0.0014321887574089357,0.03570520117957587,0.0012748613912739858,0.0001573273661349499,0.00041514601554634267,0.017198786979575865,0.00029579827356882835,0.00011934774197751432,0.5,1.0,0.96
83,0.017417756631695033,0.11514776137957589,0.013259006950727749,0.004158749680967284,0.004559201689946053,0.06341322857957586,0.004021237558885537,0.0005379641310605159,0.003941268458963259,0.05495674577957588,0.003020243906680931,0.0009210245522823283,0.48,1.0,0.36
84,0.008733225078182989,0.08569836237957588,0.0073442093145411075,0.001389015763641881,0.0007826350321227852,0.027072863979575878,0.000732939964056617,4.9695068066168144e-05,8.62985681451827e-05,0.004424160779575867,1.9573198603537347e-05,6.672536954164534e-05,0.52,1.0,1.0
85,0.004485461175327892,0.05497297037957587,0.0030220274723537256,0.001463433702974166,0.0025623780976108327,0.0007144469795758657,5.104344866250775e-07,0.0025618676631242077,0.002311161092642953,0.010483467420424133,0.00010990308915509422,0.002201258003487859,0.64,0.68,0.4
86,0.003028193034892391,0.041653855220424134,0.0017350436547240548,0.001293149380168336,0.000804451064309824,0.003583656020424128,1.2842590472722097e-05,0.0007916084738371019,0.0019173321868740337,0.024783093420424132,0.0006142017194854699,0.0013031304673885638,0.82,1.0,0.7
87,0.0102364806580982,0.09478358842042414,0.008983928633852362,0.0012525520242458385,0.0038132807233253966,0.05723604962042415,0.003275965376151655,0.0005373153471737416,0.0037626231515228916,0.05511842562042414,0.0030380408428742284,0.0007245823086486631,0.2,1.0,0.22
88,1.709750832670618e-05,0.0005461965795758661,2.983307035403755e-07,1.6799177623165806e-05,0.0005495483592682985,0.01937062537957587,0.0003752211275958688,0.00017432723167242967,0.00034961439693604083,0.007755452979575865,6.0147050918412165e-05,0.0002894673460176287,1.0,1.0,0.92
89,0.000324459884135022,0.006863806620424131,4.7111841322578136e-05,0.00027734804281244387,0.0003126272044468571,0.014321347220424134,0.00020510098620795007,0.00010752621823890705,0.008472778069029472,0.08472328782042413,0.007178035499102427,0.0012947425699270446,1.0,1.0,0.14
90,0.0002791489811084822,0.016222267220424125,0.00026316195377084706,1.598702733763516e-05,0.00041353463515180324,0.01841056917957587,0.00033894905751594894,7.45855776358543e-05,0.003098296505533389,0.048381790579575853,0.0023407976596859347,0.0007574988458474543,0.82,0.96,0.3
91,0.001954552244119761,0.04103873862042415,0.0016841780675554924,0.0002703741765642685,0.00047258361417652794,0.007435418820424132,5.528545303511739e-05,0.0004172981611414105,0.0062645952920072304,0.07448117602042413,0.005547445581385402,0.0007171497106218281,1.0,1.0,0.1
92,0.0013065581121523941,0.01630691622042413,0.00026591551661993165,0.0010406425955324624,0.0005604870587880607,0.0029427432204241367,8.65973766135222e-06,0.0005518273211267085,0.002144310374331898,0.027636345220424133,0.0007637675771424598,0.001380542797189438,0.54,0.68,0.36
93,0.0008756355337587828,0.014413486979575865,0.000207748606910403,0.0006678869268483798,0.002068230596112126,0.0006176576204241329,3.8150093606800227e-07,0.002067849095176058,0.005180823504240249,0.04199587102042414,0.0017636531827641,0.0034171703214761484,1.0,0.9,0.36
94,0.006760559530070068,0.059310365779575866,0.003517719488907084,0.003242840041162984,0.0033018541703132486,0.005433318579575865,2.9520950787164297e-05,0.0032723332195260845,0.005006808089259808,0.021757738020424133,0.00047339916376540987,0.004533408925494397,0.44,0.56,0.32
95,0.00480480423644199,0.04890481277957587,0.002391680713005367,0.002413123523436623,0.0024135202838852982,0.04383906617957587,0.001921863723497233,0.0004916565603880652,0.00035952116640784347,0.005558269820424133,3.0894363396637725e-05,0.00032862680301120576,0.52,1.0,0.96
96,0.0026073473871500784,0.04824018677957587,0.0023271156205283664,0.000280231766621712,0.0007018149867307101,0.016192172379575872,0.00026218644636989973,0.00043962854036081036,0.0004109255623130453,0.014734270379575871,0.0002170987236184469,0.0001938268386945984,0.44,1.0,0.9
97,0.0033312003035424398,0.053616826579575866,0.0028747640924643133,0.0004564362110781265,0.0012449369342474406,0.032326349379575875,0.0010449928642104055,0.00019994407003703506,0.002871140689844947,0.048998856979575865,0.0024008879853049305,0.0004702527045400166,0.88,1.0,0.24
98,0.00058276620052531,0.023476315620424133,0.0005511373951097701,3.1628805415539834e-05,0.00025114742236137093,0.01265896702042413,0.00016024944602418577,9.089797633718517e-05,0.0013554233806328077,0.03082044257957587,0.0009498996808009333,0.0004055236998318744,0.9,1.0,0.66
99,0.0005754438337473482,0.016151532020424127,0.0002608719866067859,0.0003145718471405623,0.00017131815455104473,0.005467090579575868,2.98890794052872e-05,0.00014142907514575753,0.0034854731561033726,0.05277192002042415,0.002784875542642043,0.0007005976134613298,1.0,0.98,0.2
100,0.0029047382625495156,0.051403977579575856,0.002642368911001537,0.00026236935154797837,0.00199911942030392,0.03394307597957587,0.0011521324069552602,0.0008469870133486596,0.005099614361145076,0.06760112917957588,0.0045699126663537055,0.0005297016947913707,0.24,1.0,0.06
101,0.00030428904861583837,0.00023151537957586955,5.359937098015895e-08,0.0003042354492448582,0.0006955946575115882,0.00306992002042413,9.424408931800892e-06,0.0006861702485797872,0.0005187472666749099,0.00713336757957586,5.0884933025343966e-05,0.0004678623336495659,0.96,1.0,0.92
